rdfid,lineindex
11.3,7
11.3,8
11.3,9
11.3,10
11.3,13
11.3,16
11.3,17
11.3,19
11.3,20
11.3,22
11.3,23
11.3,24
11.3,25
11.3,26
11.3,27
11.3,28
11.3,30
11.3,32
11.3,34
11.3,35
11.3,37
11.3,40
11.3,41
11.3,42
11.3,43
11.3,53
13.1,9
13.1,15
13.1,20
13.1,22
13.1,24
13.1,28
13.1,37
13.1,38
13.1,41
13.1,45
13.1,47
13.1,48
13.1,49
13.1,50
13.1,51
13.1,52
13.1,53
13.1,54
13.1,55
13.1,56
13.1,57
13.1,58
13.1,59
13.1,61
13.2,9
13.2,19
13.2,21
13.2,23
13.2,27
13.2,36
13.2,37
13.2,45
13.2,47
13.2,48
13.2,49
13.2,50
13.2,51
13.2,52
13.2,54
13.2,55
13.2,56
13.2,57
13.2,58
13.2,59
13.2,63
13.3,9
13.3,19
13.3,22
13.3,35
13.3,36
13.3,45
13.3,46
13.3,47
13.3,48
13.3,49
13.3,50
13.3,51
13.3,54
13.3,55
13.3,56
13.3,57
13.3,58
13.3,59
13.3,60
16.1,5
16.1,10
16.1,13
16.1,15
16.1,17
16.1,18
16.1,19
16.1,20
16.1,22
16.1,23
16.1,25
16.1,26
16.1,32
16.1,34
16.1,36
16.1,37
16.2,8
16.2,13
16.2,14
16.2,17
16.2,21
16.2,24
16.2,25
16.2,26
16.2,31
16.2,33
16.2,35
16.2,36
16.2,37
16.2,40
16.2,42
16.2,43
16.2,44
16.2,45
17.1,5
17.1,9
17.1,13
17.1,15
17.1,16
17.1,22
17.1,24
17.1,26
17.1,27
17.1,29
17.1,31
17.1,32
17.1,34
17.1,36
17.1,37
17.1,38
17.1,39
17.1,41
17.2,3
17.2,8
17.2,21
17.2,23
17.2,25
17.2,26
17.2,29
17.2,30
17.2,31
17.2,32
17.2,34
17.2,35
17.2,42
17.2,45
17.2,47
17.2,49
17.2,52
17.2,54
17.2,56
17.2,60
17.2,62
17.2,66
17.2,68
17.2,70
17.2,72
17.2,73
17.2,74
17.2,80
17.2,84
17.2,86
17.2,88
17.2,91
17.2,100
17.2,102
17.2,106
17.2,111
17.2,113
17.2,118
17.2,122
17.2,124
17.2,129
17.2,133
17.2,136
17.2,138
17.2,141
17.2,144
18.1,5
18.1,10
18.1,14
18.1,16
18.1,17
18.1,27
18.1,29
18.1,32
18.1,33
18.1,35
18.1,36
18.1,37
18.1,39
18.1,41
18.1,42
18.1,45
18.1,46
18.1,47
18.1,51
18.1,56
18.1,57
18.1,58
18.1,60
18.1,61
18.2,6
18.2,8
18.2,9
18.2,10
18.2,11
18.2,15
18.2,17
18.2,19
18.2,20
18.2,22
18.2,23
18.2,27
18.2,29
18.2,30
18.2,31
18.2,39
18.2,46
18.2,48
18.2,50
18.2,52
18.2,56
18.2,60
18.2,62
18.3,3
18.3,8
18.3,9
18.3,17
18.3,18
18.3,20
18.3,21
18.3,24
18.3,27
18.3,39
18.3,41
18.3,43
18.3,44
18.3,46
18.3,47
18.3,49
18.3,50
18.3,52
18.3,61
18.3,64
18.3,67
18.3,68
18.3,70
18.3,71
18.3,73
18.3,77
18.3,79
18.3,82
18.3,86
18.3,91
18.3,94
18.3,97
18.3,98
18.3,99
18.3,101
18.3,104
18.3,105
18.3,117
18.3,118
18.3,119
18.3,122
18.3,123
18.3,128
18.3,136
18.3,139
18.3,140
18.3,147
18.3,153
18.3,158
18.3,166
18.3,168
18.3,169
18.3,171
18.3,175
18.3,181
20.1,5
20.1,10
20.1,14
20.1,16
20.1,27
20.1,29
20.1,30
20.1,32
20.1,33
20.1,34
20.1,36
20.1,38
20.1,39
20.1,41
20.1,43
20.1,45
20.1,46
20.1,48
20.1,51
20.1,52
20.1,53
20.1,56
20.1,57
20.1,58
20.1,59
20.1,61
20.1,62
20.1,68
21.1,5
21.1,6
21.1,10
21.1,11
21.1,16
21.1,18
21.1,19
21.1,29
21.1,30
21.1,32
21.1,33
21.1,35
21.1,37
21.1,41
21.1,42
21.1,46
21.1,48
21.1,49
21.1,51
21.1,53
21.1,55
21.1,56
21.1,59
21.1,60
21.1,61
21.1,62
21.1,64
21.1,65
21.1,67
21.1,70
21.2,2
21.2,8
21.2,10
21.2,12
21.2,19
21.2,27
21.2,29
21.2,37
21.2,38
21.2,39
21.2,49
21.2,56
21.2,59
21.2,62
21.2,63
21.2,65
21.2,68
21.2,71
21.2,75
21.2,81
21.2,84
21.2,87
21.2,91
21.2,92
21.2,96
21.2,97
21.2,99
21.2,100
21.2,112
21.2,115
21.2,118
21.2,121
21.2,122
21.2,124
21.2,126
21.2,127
21.2,128
21.2,130
21.2,366
21.2,369
21.2,372
21.2,375
21.2,376
21.2,377
21.2,378
21.2,380
21.2,383
22.1,6
22.1,10
22.1,14
22.1,16
22.1,17
22.1,28
22.1,29
22.1,31
22.1,33
22.1,36
22.1,37
22.1,38
22.1,40
22.1,42
22.1,44
22.1,45
22.1,46
22.1,47
22.1,49
